"Date"	"MSFT"	"F"	"CRAY"	"GOOG"	"HPQ"	"YHOO"	"JAVA"	"DELL"	"AAPL"	"IBM"	"LNVGY"	"CSCO"	"BAC"	"INTC"	"AMD"	"SNE"	"NVDA"	"AMZN"	"CREAF"	"EK"
"2005JanFeb"	-0.00142	-0.00375	-0.00641	-0.00183	-0.00027	-0.00410	-0.00469	-0.00080	0.00909	-0.00117	-0.00179	-0.00242	0.00038	0.00177	-0.00317	-0.00022	0.00570	-0.00541	-0.00539	0.00114
"2005MarApr"	0.00002	-0.00720	-0.01023	0.00430	0.00049	0.00161	-0.00227	-0.00329	-0.00420	-0.00446	0.00343	-0.00025	-0.00084	-0.00096	-0.00500	-0.00054	-0.00624	-0.00146	-0.00722	-0.00657
"2005MayJun"	-0.00047	0.00290	-0.01103	0.00649	0.00274	0.00014	-0.00055	0.00285	0.00030	-0.00050	-0.00163	0.00229	-0.00016	0.00255	0.00474	-0.00165	0.00510	-0.00007	-0.00522	0.00141
"2005JulAug"	0.00230	-0.00126	-0.00274	-0.00030	0.00424	-0.00058	0.00113	-0.00260	0.00570	0.00152	0.00907	-0.00158	-0.00097	-0.00077	0.00432	-0.00037	0.00331	0.00597	0.00525	-0.00096
"2005SepOct"	-0.00107	-0.00383	0.00295	0.00700	0.00044	0.00315	0.00037	-0.00413	0.00556	0.00064	0.00172	-0.00017	0.00032	-0.00252	0.00282	-0.00053	0.00197	-0.00043	-0.00241	-0.00382
"2005NovDec"	0.00082	-0.00099	0.00397	0.00342	0.00047	0.00212	0.00295	0.00114	0.00645	0.00017	0.00027	0.00001	0.00185	0.00299	0.00835	0.00589	0.00366	0.00401	0.00400	0.00274
"2006JanFeb"	0.00034	0.00058	0.01327	-0.00396	0.00459	-0.00582	0.00009	-0.00100	-0.00160	-0.00064	-0.00239	0.00499	-0.00079	-0.00503	0.00595	0.00336	0.00657	-0.00612	-0.00238	0.00393
"2006MarApr"	-0.00245	-0.00305	-0.00382	0.00242	-0.00089	0.00011	0.00340	-0.00306	0.00054	0.00072	-0.00210	-0.00004	0.00184	-0.00149	-0.00508	0.00059	0.00585	-0.00157	-0.00380	0.00007
"2006MayJun"	-0.00046	-0.00042	0.01173	0.00149	0.00007	0.00101	-0.00331	-0.00084	-0.00390	-0.00116	-0.00264	-0.00091	-0.00012	-0.00001	-0.00535	-0.00164	-0.00764	0.00271	-0.00195	-0.00339
"2006JulAug"	0.00211	0.00521	0.00565	-0.00250	0.00283	-0.00204	0.00426	-0.00169	0.00420	0.00104	0.00559	0.00282	0.00135	0.00083	0.00083	-0.00012	0.00683	-0.00365	0.00388	-0.00197
"2006SepOct"	0.00262	0.00109	-0.00855	0.00522	0.00138	-0.00271	0.00160	0.00170	0.00367	0.00291	0.00047	0.00194	0.00089	0.00143	-0.00351	-0.00159	0.00395	0.00439	0.00046	0.00282
"2006NovDec"	0.00092	-0.00298	0.00799	-0.00029	0.00171	-0.00032	0.00064	0.00130	0.00188	0.00144	-0.00075	0.00329	-0.00007	-0.00084	-0.00016	0.00126	0.00370	0.00134	-0.00054	0.00193
